id;action;entity_name;entity_id;level;message;principal;correlation_id;ip_address;user_agent;metadata;created_at
1;gee among feather;ha throughout apud;26142;ERROR;provided porter;bah storyboard than;impolite unto;jealous;readies that;../fake-data/blob/hipster.txt;2026-05-11T18:40:31
2;above;festival before;19794;TRACE;phew last drat;but fussy;among;jealously above on;everlasting;../fake-data/blob/hipster.txt;2026-05-12T04:48:00
3;wilt;abacus petty courageously;8076;TRACE;as even bouncy;inquisitively;pfft;along phew;highlight;../fake-data/blob/hipster.txt;2026-05-12T00:01:45
4;toward flu whoever;emboss ostrich;15539;DEBUG;kiddingly;boo;beneath corral fund;alongside mad;whenever hose jubilantly;../fake-data/blob/hipster.txt;2026-05-12T12:27:57
5;until;unexpectedly refute;2996;TRACE;until about;bench phooey;cemetery;sugary serialize;accidentally;../fake-data/blob/hipster.txt;2026-05-12T03:00:14
6;down;inasmuch;8749;TRACE;wonderfully dredger forenenst;conceal bathhouse slushy;spook furthermore linear;heavily information;instead;../fake-data/blob/hipster.txt;2026-05-12T09:06:15
7;partially;irk;12736;TRACE;among;doing velvety;goose intently;vice;athwart hypothesize;../fake-data/blob/hipster.txt;2026-05-12T17:37:11
8;upwardly antagonize;inexperienced monstrous aboard;20893;ERROR;sure-footed antique;excepting;before;accompanist;above;../fake-data/blob/hipster.txt;2026-05-12T05:41:23
9;republican unless abaft;what quinoa passport;10339;INFO;uh-huh;in;pish insist illiterate;now scheme;fork ha respectful;../fake-data/blob/hipster.txt;2026-05-12T12:52:16
10;outrun and woot;growing even burdensome;23673;WARN;puny polarisation;finally whenever;upright;obnoxiously phew abaft;if ugh trusting;../fake-data/blob/hipster.txt;2026-05-12T09:07:15
11;gifted;lined;893;INFO;hm help rise;dwell fairly;boring;overcoat;obedient alarmed formamide;../fake-data/blob/hipster.txt;2026-05-12T00:08:38
12;bind whoa oh;drain diligently onto;20305;WARN;toward vastly median;certainly clumsy before;deer rewarding;to knowingly;jell;../fake-data/blob/hipster.txt;2026-05-12T16:19:02
13;inside chapel;against pleased smoke;26561;TRACE;zowie unaccountably what;courageously um phew;uncommon fortunately;ecliptic intently upon;careless illusion;../fake-data/blob/hipster.txt;2026-05-11T23:52:32
14;wherever yum;athwart worthwhile nearly;19402;DEBUG;slowly;whoever;yum yieldingly;and;afterwards ostrich until;../fake-data/blob/hipster.txt;2026-05-12T04:41:39
15;honored linseed whether;aboard through after;22824;DEBUG;row;gadzooks;shadowbox second-hand;easy;powerful oof since;../fake-data/blob/hipster.txt;2026-05-12T05:05:56
16;eek;ouch;19067;INFO;um until;ew off account;lack energetic;physically emphasize psst;bah yippee rotten;../fake-data/blob/hipster.txt;2026-05-11T23:11:10
17;lobotomise;whenever;12593;ERROR;guide loyalty failing;pressure;even;overcooked yummy coaxingly;meanwhile finally;../fake-data/blob/hipster.txt;2026-05-12T08:59:37
18;circa;supposing diligent;8753;WARN;colorfully hence inasmuch;yuck unlucky as;below inasmuch thorn;per;that gee light;../fake-data/blob/hipster.txt;2026-05-12T09:14:46
19;sushi purse;into tame;1326;INFO;rule mechanically;while;whereas;throbbing salty ugh;ack;../fake-data/blob/hipster.txt;2026-05-11T23:02:20
20;crushing casement;fiercely oblong about;26168;WARN;honorable entrench;er overload;bestride;noteworthy upright until;needy;../fake-data/blob/hipster.txt;2026-05-12T08:47:57
21;inveigle gee;sup zowie finally;13265;DEBUG;considering ajar;shocked;toward;veto waft thoughtfully;profitable;../fake-data/blob/hipster.txt;2026-05-12T07:37:05
22;achieve regulate worth;gosh dimly sundae;18804;ERROR;about but;penalise;avow;worth;castanet;../fake-data/blob/hipster.txt;2026-05-12T00:22:42
23;in calmly phooey;gadzooks;12167;INFO;gloom or;anenst;coarse dial;lest unless if;especially;../fake-data/blob/hipster.txt;2026-05-12T01:47:14
24;decide;firm meh ironclad;11523;ERROR;shyly;as;serene;disapprove ecliptic;advanced amidst;../fake-data/blob/hipster.txt;2026-05-12T06:24:27
25;mixed;eminent handle decouple;11155;TRACE;pluck gee focused;to;worth;nearly ack bowler;inspection meh;../fake-data/blob/hipster.txt;2026-05-12T05:47:43
26;brr gloat;but;31605;TRACE;snuggle wobbly absentmindedly;story weatherize giant;so;via;where stoop outrageous;../fake-data/blob/hipster.txt;2026-05-12T11:42:30
27;thrifty excluding;mostly;5470;DEBUG;useless pike hasty;highly qua pigsty;oof poorly near;frantically terribly across;on;../fake-data/blob/hipster.txt;2026-05-11T20:06:14
28;madly beside;defiantly foodstuffs mmm;16186;ERROR;suitcase;after carpool mmm;geez innocently;where accompanist yowza;gracefully of vein;../fake-data/blob/hipster.txt;2026-05-12T00:30:56
29;gosh;overstay towards;22210;TRACE;geez sunbeam ravioli;eek;regarding;usually majestically;source;../fake-data/blob/hipster.txt;2026-05-12T05:20:46
30;scaffold so;excepting libel;6506;ERROR;juggernaut poor completion;dearly;including fabricate gadzooks;in lovingly good;bog er;../fake-data/blob/hipster.txt;2026-05-12T15:32:38
